age,salary,rupiah_salary_month,education,dependents,house_ownership,expenses,rupiah_expenses,savings,rupiah_savings,employment_status,vehicle_ownership,area,investment,rupiah_investment,debt,rupiah_debt
56,6.89," Rp6,890,000 ",Doctoral,1,Leased,4.3," Rp4,300,000 ",13.67," Rp13,670,000 ",Employment,No Vehicle,Rural,21.89," Rp21,890,000 ",11.11," Rp11,110,000.00 "
69,1.85," Rp1,850,000 ",SHS,3,Owned,0.57," Rp570,000 ",8.56," Rp8,559,886 ",Unemployment,Car,Rural,5.29," Rp5,290,000 ",1.15," Rp1,150,000.00 "
46,2.39," Rp2,390,000 ",Bachelor,1,Owned,0.96," Rp960,000 ",6.35," Rp6,350,000 ",Employment,Car,Suburban,1.50," Rp1,500,000 ",3.5," Rp3,500,000.00 "
32,10.23," Rp10,230,000 ",ES,3,Owned,11.22," Rp11,220,000 ",0.76," Rp760,000 ",Unemployment,Motorcycle and Car,Urban,5.88," Rp5,880,000 ",4.89," Rp4,890,000.00 "
60,2.17," Rp2,170,000 ",Diploma,2,Owned,2.57," Rp2,570,000 ",28.47," Rp28,470,000 ",Retired,Motorcycle,Suburban,15.78," Rp15,780,000 ",3.62," Rp3,620,000.00 "
25,1.38," Rp1,380,000 ",Bachelor,3,Owned,1.53," Rp1,530,000 ",8.30," Rp8,295,259 ",Employment,Car,Suburban,15.08," Rp15,080,000 ",5.12," Rp5,120,000.00 "
38,7.07," Rp7,070,000 ",Bachelor,0,Owned,4.93," Rp4,930,000 ",13.11," Rp13,110,000 ",Self-Employment,Car,Urban,5.05," Rp5,050,000 ",9.73," Rp9,730,000.00 "
56,3.58," Rp3,580,000 ",Bachelor,2,Owned,4.17," Rp4,170,000 ",36.39," Rp36,390,000 ",Self-Employment,No Vehicle,Suburban,6.56," Rp6,560,000 ",0.48," Rp480,000.00 "
36,13.63," Rp13,630,000 ",JHS,2,Leased,9.08," Rp9,080,000 ",16.21," Rp16,210,000 ",Unemployment,Car,Urban,9.98," Rp9,980,000 ",2.33," Rp2,330,000.00 "
40,6.25," Rp6,250,000 ",Master,4,Contract,2.51," Rp2,510,000 ",53.27," Rp53,270,000 ",Retired,Motorcycle,Rural,0.00, Rp-   ,3.52," Rp3,520,000.00 "
28,1.47," Rp1,470,000 ",Doctoral,0,Parents,0.89," Rp890,000 ",14.2," Rp14,200,000 ",Student,Motorcycle,Suburban,2.79," Rp2,790,000 ",3.7," Rp3,700,000.00 "
28,15.77," Rp15,770,000 ",SHS,3,Owned,18.9," Rp18,900,000 ",4.58," Rp4,580,000 ",Unemployment,Car,Urban,14.87," Rp14,870,000 ",0.06," Rp60,000.00 "
41,2.5," Rp2,500,000 ",Master,6,Owned,2.16," Rp2,160,000 ",40.82," Rp40,820,000 ",Student,No Vehicle,Rural,0.00, Rp-   ,4.3," Rp4,300,000.00 "
53,3.06," Rp3,060,000 ",SHS,1,Owned,1.85," Rp1,850,000 ",32.22," Rp32,220,000 ",Student,No Vehicle,Urban,4.21," Rp4,210,000 ",3.93," Rp3,927,518.81 "
